15 4395 14383
0 0 0.111547 0.0569901
1 0 0.120381 -0.0357991
0 1 -0.112232 -0.398119
1 1 -0.0827875 -0.457769
0 2 -0.394901 -0.267772
1 2 -0.383123 -0.387073
0 3 -0.545068 0.134314
1 3 -0.518568 0.0569901
0 4 -1.01913 -0.530675
1 4 -0.966127 -0.612418
0 5 -0.430234 -0.0601011
1 5 -0.412568 -0.1551
0 6 -0.303622 -0.179401
1 6 -0.297733 -0.307539
0 7 -0.680514 -0.952645
1 7 -0.633402 -1.0123
0 8 -0.515624 -0.641138
1 8 -0.483235 -0.720672
0 9 -0.135788 -0.415793
1 9 -0.106343 -0.473234
0 10 -0.542124 -0.833344
1 10 -0.500901 -0.897413
0 11 -0.0327316 -0.320795
1 11 -0.00917586 -0.391491
0 12 -0.745292 -0.694161
1 12 -0.707014 -0.782531
0 13 -0.406679 -0.0490548
1 13 -0.389012 -0.144053
0 14 -0.674625 -0.616836
1 14 -0.639291 -0.702998
0 15 -0.615736 -0.236842
1 15 -0.589235 -0.331841
0 16 -0.73057 -0.499745
1 16 -0.692292 -0.579279
0 17 -0.0945653 -0.205913
1 17 -0.079843 -0.296493
0 18 -0.512679 -0.718463
1 18 -0.477346 -0.789159
0 19 -0.436123 -0.619046
1 19 -0.409623 -0.707416
0 20 -0.530346 -0.740555
1 20 -0.492068 -0.811252
0 21 -0.662847 -0.930552
1 21 -0.615736 -0.990202
0 22 -0.577458 -0.744974
1 22 -0.53918 -0.81567
0 23 -0.56568 -0.797996
1 23 -0.524457 -0.864274
0 24 -0.724681 -0.371608
1 24 -0.692292 -0.466606
0 25 -0.0474538 -0.30533
1 25 -0.0238981 -0.376026
0 26 -0.754125 -0.48428
1 26 -0.715847 -0.568232
0 27 -0.509735 -0.711835
1 27 -0.474401 -0.784741
0 28 -0.079843 -0.316376
1 28 -0.0562873 -0.387073
0 29 -0.762959 -0.420212
1 29 -0.727625 -0.510791
0 30 -0.447901 0.145361
1 30 -0.42729 0.0636179
0 31 -0.621625 -0.241261
1 31 -0.595124 -0.336259
0 32 -0.627513 -0.210331
1 32 -0.601013 -0.307539
0 33 -0.521513 -0.0490548
1 33 -0.500901 -0.144053
0 34 -0.760014 -0.497536
1 34 -0.721736 -0.583697
0 35 -0.48029 -0.742764
1 35 -0.45379 -0.839972
0 36 -0.259455 -0.404747
1 36 -0.230011 -0.468815
0 37 -0.206455 -0.139635
1 37 -0.191733 -0.230215
0 38 -0.312456 0.0172232
1 38 -0.3154 -0.130798
0 39 -0.556846 -0.314167
1 39 -0.536235 -0.422421
0 40 -0.559791 -0.784741
1 40 -0.521513 -0.853228
0 41 -0.530346 -0.557186
1 41 -0.497957 -0.63451
0 42 -0.733514 -0.300911
1 42 -0.709958 -0.422421
0 43 -0.45379 0.101175
1 43 -0.433179 0.015014
0 44 -0.244733 -0.0446362
1 44 -0.230011 -0.133007
0 45 -0.141677 -0.287656
