9 9419 31058
0 0 0.385927 -0.297358
1 0 0.237191 -0.212793
0 1 0.416489 -0.297358
1 1 0.264697 -0.211774
0 2 0.354346 -0.276981
1 2 0.214779 -0.195472
0 3 -0.0745427 -0.271887
1 3 -0.183548 -0.19751
0 4 0.419545 -0.269849
1 4 0.268772 -0.186302
0 5 -0.0612991 -0.257623
1 5 -0.170304 -0.184264
0 6 0.397133 -0.253547
1 6 0.250435 -0.172038
0 7 -0.289496 -0.252528
1 7 -0.394834 -0.178763
0 8 -0.330246 -0.25049
1 8 -0.438232 -0.176114
0 9 0.36759 -0.248453
1 9 0.227004 -0.168982
0 10 -0.346546 -0.247434
1 10 -0.453513 -0.173057
0 11 -0.0918612 -0.246415
1 11 -0.200866 -0.173057
0 12 -0.282365 -0.237245
1 12 -0.388314 -0.163887
0 13 -0.0959362 -0.235208
1 13 -0.204941 -0.162868
0 14 -0.0378681 -0.23317
1 14 -0.147892 -0.159812
0 15 -0.280328 -0.232151
1 15 -0.387295 -0.158793
0 16 -0.34349 -0.231132
1 16 -0.450457 -0.157774
0 17 -0.339415 -0.229094
1 17 -0.446382 -0.155736
0 18 -0.355714 -0.227057
1 18 -0.461663 -0.153699
0 19 -0.290515 -0.219925
1 19 -0.398501 -0.147585
0 20 -0.277272 -0.219925
1 20 -0.385258 -0.147585
0 21 -0.288478 -0.216868
1 21 -0.396464 -0.144529
0 22 0.5204 -0.215849
1 22 -0.461414 0.0634681
0 23 -0.265047 -0.21483
1 23 -0.373033 -0.142491
0 24 -0.347564 -0.212793
1 24 -0.455551 -0.140453
0 25 -0.34349 -0.211774
1 25 -0.451476 -0.139435
0 26 0.346196 -0.207698
1 26 0.227004 -0.13434
0 27 0.342121 -0.205661
1 27 0.223948 -0.132303
0 28 0.374721 -0.200566
1 28 0.253491 -0.127208
0 29 -0.000174789 -0.198529
1 29 -0.10918 -0.128227
0 30 -0.342471 -0.19751
1 30 -0.449438 -0.126189
0 31 -0.0205496 -0.19751
1 31 -0.129555 -0.127208
0 32 -0.0735239 -0.195472
1 32 -0.18151 -0.12517
0 33 0.00288143 -0.195472
1 33 -0.105105 -0.12517
0 34 -0.0531492 -0.194453
1 34 -0.160117 -0.12517
0 35 0.353327 -0.194453
1 35 0.231079 -0.121095
0 36 0.419545 -0.193434
1 36 0.289147 -0.118038
0 37 0.469463 -0.193434
1 37 0.33499 -0.116408
0 38 0.368608 -0.189359
1 38 0.248397 -0.116001
0 39 0.514288 -0.180189
1 39 0.390002 -0.106627
0 40 -0.00832469 -0.177132
1 40 -0.118348 -0.106831
0 41 0.409358 -0.174076
1 41 0.282016 -0.100718
0 42 0.447051 -0.168982
1 42 0.306465 -0.0925669
0 43 -0.0205496 -0.158793
1 43 -0.130573 -0.0895103
0 44 0.371665 -0.158793
1 44 0.255773 -0.0882877
0 45 -0.0164746 -0.155736
1 45 -0.126498 -0.0864537
0 46 0.333971 -0.154717
1 46 0.208667 -0.0823783
0 47 0.482707 -0.154717
1 47 0.344159 -0.0783028
0 48 -0.00424974 -0.153699
1 48 -0.116311 -0.084416
0 49 0.332953 -0.15268
1 49 0.207648 -0.0803406
0 50 0.473538 -0.150642
1 50 0.331934 -0.0732085
0 51 -0.358771 -0.148604
1 51 -0.459626 -0.0813594
0 52 -0.355714 -0.148604
1 52 -0.456569 -0.0813594
0 53 0.441958 -0.145548
1 53 0.305447 -0.0701519
0 54 0.348234 -0.142491
1 54 0.223948 -0.0711708
0 55 0.00593764 -0.139435
1 55 -0.104086 -0.0711708
0 56 -0.358771 -0.138416
1 56 -0.461663 -0.0721897
0 57 -0.0174933 -0.133321
1 57 -0.127517 -0.0650576
0 58 0.5204 -0.132303
1 58 0.380833 -0.0569067
0 59 0.349252 -0.130265
1 59 0.227004 -0.0589445
0 60 0.350271 -0.127208
1 60 0.229041 -0.0569067
0 61 0.436864 -0.12517
1 61 0.30239 -0.0507936
0 62 0.428714 -0.114982
1 62 0.295259 -0.0416238
0 63 0.338046 -0.113963
1 63 0.21376 -0.0426427
0 64 0.315634 -0.111925
1 64 0.195423 -0.0416238
0 65 0.445014 -0.103774
1 65 0.31054 -0.0304163
0 66 0.31869 -0.101737
1 66 0.199498 -0.0324541
0 67 0.491876 -0.100718
1 67 0.354346 -0.0273597
0 68 -0.113255 -0.0996989
1 68 -0.231021 -0.0320465
